Date (undefined);px (au);py (au);pz (au);Dobs (au);VMag (mag);vx (au/d);vy (au/d);vz (au/d);RV (km/s)
2020-01-01T00:00:00.000;-0,003799190536;0,007439650723;2,3115024E-05;0,008353609155;-37,13;-8,352233E-06;-1,991109E-06;2,30354E-07;0,0035078
2020-01-15T00:00:00.000;-0,003915869724;0,00741078312;2,6332539E-05;0,008381791905;-37,12;-8,316144E-06;-2,131776E-06;2,29278E-07;0,0034648
2020-01-29T00:00:00.000;-0,004032043491;0,007379990867;2,9534886E-05;0,008409667783;-37,12;-8,280241E-06;-2,265938E-06;2,28229E-07;0,0034323
2020-02-12T00:00:00.000;-0,004147731846;0,007347378663;3,2725933E-05;0,008437341031;-37,11;-8,248182E-06;-2,391339E-06;2,27855E-07;0,0034165
2020-02-26T00:00:00.000;-0,004263060664;0,007313043845;3,5921059E-05;0,008464962305;-37,1;-8,229521E-06;-2,514808E-06;2,28685E-07;0,0034159
2020-03-11T00:00:00.000;-0,004378190749;0,007276920814;3,9128995E-05;0,008492565092;-37,09;-8,21818E-06;-2,647082E-06;2,29563E-07;0,0034103
2020-03-25T00:00:00.000;-0,004493178835;0,007238886368;4,2348333E-05;0,00852008951;-37,09;-8,208832E-06;-2,787847E-06;2,3033E-07;0,0033963
2020-04-08T00:00:00.000;-0,004608035472;0,007198818468;4,5577731E-05;0,008547459012;-37,08;-8,198877E-06;-2,937728E-06;2,30984E-07;0,0033714
2020-04-22T00:00:00.000;-0,004722726437;0,007156586374;4,8814723E-05;0,008574570333;-37,07;-8,184397E-06;-3,096825E-06;2,31392E-07;0,0033321
2020-05-06T00:00:00.000;-0,004837159;0,007112081636;5,2055936E-05;0,008601309331;-37,07;-8,161836E-06;-3,261266E-06;2,31683E-07;0,0032808
2020-05-20T00:00:00.000;-0,004951245647;0,007065260332;5,5304987E-05;0,008627618191;-37,06;-8,136128E-06;-3,42891E-06;2,32519E-07;0,0032252
2020-06-03T00:00:00.000;-0,005064936448;0,007016018099;5,8563715E-05;0,00865341094;-37,05;-8,103221E-06;-3,607257E-06;2,32843E-07;0,0031509
2020-06-17T00:00:00.000;-0,005178065587;0,006964232112;6,1820123E-05;0,008678520258;-37,05;-8,055488E-06;-3,791082E-06;2,32217E-07;0,0030573
2020-07-01T00:00:00.000;-0,005290418122;0,006909869843;6,5062268E-05;0,008702818983;-37,04;-7,992348E-06;-3,974517E-06;2,30833E-07;0,0029514
2020-07-15T00:00:00.000;-0,005401782097;0,006852967614;6,828054E-05;0,008726229265;-37,04;-7,914371E-06;-4,153215E-06;2,28828E-07;0,0028385
2020-07-29T00:00:00.000;-0,005511955971;0,006793626839;7,1467705E-05;0,008748721728;-37,03;-7,822769E-06;-4,321669E-06;2,26482E-07;0,0027262
2020-08-12T00:00:00.000;-0,005620795101;0,006732039981;7,4625381E-05;0,008770363095;-37,02;-7,726144E-06;-4,474137E-06;2,24796E-07;0,0026304
2020-08-26T00:00:00.000;-0,005728299892;0,006668381795;7,7763716E-05;0,008791290157;-37,02;-7,631434E-06;-4,619194E-06;2,23491E-07;0,0025466
2020-09-09T00:00:00.000;-0,00583446242;0,006602731602;8,0881787E-05;0,008811558217;-37,01;-7,534307E-06;-4,758101E-06;2,21926E-07;0,002468
2020-09-23T00:00:00.000;-0,005939258447;0,00653519253;8,3977711E-05;0,008831227806;-37,01;-7,436717E-06;-4,889064E-06;2,20368E-07;0,002399
2020-10-07T00:00:00.000;-0,006042699306;0,006465869327;8,7052816E-05;0,00885038187;-37,01;-7,340944E-06;-5,01328E-06;2,18961E-07;0,0023404
2020-10-21T00:00:00.000;-0,00614481551;0,006394846051;9,0109525E-05;0,00886909992;-37;-7,247458E-06;-5,131904E-06;2,17764E-07;0,0022912
2020-11-04T00:00:00.000;-0,006245650716;0,006322211439;9,3153842E-05;0,008887473656;-37;-7,159357E-06;-5,243359E-06;2,17361E-07;0,0022571
2020-11-18T00:00:00.000;-0,006345338519;0,006248022272;9,6199983E-05;0,008905636286;-36,99;-7,083136E-06;-5,356685E-06;2,17799E-07;0,0022353
2020-12-02T00:00:00.000;-0,006443988778;0,006172179973;9,9249932E-05;0,008923600593;-36,99;-7,009559E-06;-5,479233E-06;2,17811E-07;0,0022066
2020-12-16T00:00:00.000;-0,00654159386;0,0060945728;0,000102296064;0,008941293661;-36,98;-6,933383E-06;-5,608479E-06;2,17258E-07;0,0021681
2020-12-30T00:00:00.000;-0,00663809958;0,006015118433;0,000105330394;0,008958633283;-36,98;-6,852063E-06;-5,742872E-06;2,16111E-07;0,0021189
2021-01-13T00:00:00.000;-0,006733414113;0,005933758645;0,000108344049;0,0089755276;-36,97;-6,762717E-06;-5,880079E-06;2,14305E-07;0,002058
2021-01-27T00:00:00.000;-0,00682741233;0,005850491143;0,000111329402;0,00899189635;-36,97;-6,664626E-06;-6,014076E-06;2,1222E-07;0,0019911
2021-02-10T00:00:00.000;-0,00692002478;0,005765385286;0,000114288797;0,009007745133;-36,97;-6,565866E-06;-6,144312E-06;2,1055E-07;0,001929
2021-02-24T00:00:00.000;-0,007011233956;0,00567843311;0,00011722156;0,009023067387;-36,96;-6,462609E-06;-6,277601E-06;2,08272E-07;0,0018591
2021-03-10T00:00:00.000;-0,007100937895;0,005589621361;0,000120117176;0,009037788119;-36,96;-6,350934E-06;-6,409127E-06;2,05302E-07;0,0017812
2021-03-24T00:00:00.000;-0,007189028268;0,005499001574;0,000122968258;0,009051865384;-36,96;-6,232423E-06;-6,535561E-06;2,01952E-07;0,0017007
2021-04-07T00:00:00.000;-0,007275421523;0,005406656656;0,000125771029;0,00906529166;-36,95;-6,108695E-06;-6,655319E-06;1,98432E-07;0,0016207
2021-04-21T00:00:00.000;-0,0073600542;0,005312696598;0,000128525156;0,009078086896;-36,95;-5,981487E-06;-6,765508E-06;1,95122E-07;0,0015461
2021-05-05T00:00:00.000;-0,007442930493;0,005217277437;0,000131240473;0,009090347752;-36,95;-5,859947E-06;-6,864974E-06;1,93001E-07;0,0014903
2021-05-19T00:00:00.000;-0,007524170744;0,005120466306;0,000133931296;0,009102211719;-36,94;-5,746286E-06;-6,965883E-06;1,91386E-07;0,0014444
2021-06-02T00:00:00.000;-0,007603830696;0,005022218826;0,00013659883;0,009113703004;-36,94;-5,633741E-06;-7,069865E-06;1,89687E-07;0,0013978
2021-06-16T00:00:00.000;-0,007681914419;0,004922497726;0,000139242608;0,009124811314;-36,94;-5,520917E-06;-7,176532E-06;1,87996E-07;0,0013493
2021-06-30T00:00:00.000;-0,007758406052;0,004821259328;0,000141862434;0,009135509342;-36,94;-5,405819E-06;-7,286695E-06;1,86242E-07;0,0012956
2021-07-14T00:00:00.000;-0,007833250694;0,004718458996;0,000144456682;0,009145738869;-36,93;-5,285108E-06;-7,399046E-06;1,84361E-07;0,0012332
2021-07-28T00:00:00.000;-0,007906368814;0,004614100768;0,000147026788;0,009155447045;-36,93;-5,160522E-06;-7,508918E-06;1,82946E-07;0,0011689
2021-08-11T00:00:00.000;-0,00797774709;0,004508185756;0,00014958015;0,009164636472;-36,93;-5,035388E-06;-7,62319E-06;1,81704E-07;0,0011017
2021-08-25T00:00:00.000;-0,008047310267;0,004400627333;0,000152110103;0,009173214319;-36,93;-4,900117E-06;-7,742544E-06;1,79565E-07;0,001017
2021-09-08T00:00:00.000;-0,008114890842;0,004291400719;0,00015460413;0,009181038936;-36,93;-4,752143E-06;-7,860652E-06;1,76599E-07;0,000916
2021-09-22T00:00:00.000;-0,008180312488;0,004180555261;0,000157051578;0,009187993246;-36,92;-4,591791E-06;-7,973154E-06;1,72925E-07;0,0008023
2021-10-06T00:00:00.000;-0,008243406104;0,004068198487;0,000159443274;0,009193987453;-36,92;-4,419724E-06;-8,075664E-06;1,68673E-07;0,0006793
2021-10-20T00:00:00.000;-0,008304027119;0,003954516552;0,00016177468;0,009198980302;-36,92;-4,240203E-06;-8,161285E-06;1,64515E-07;0,0005578
2021-11-03T00:00:00.000;-0,008362156694;0,003839750015;0,000164053539;0,00920305701;-36,92;-4,064871E-06;-8,232729E-06;1,61056E-07;0,0004526
2021-11-17T00:00:00.000;-0,00841784919;0,003724031787;0,00016628259;0,009206315638;-36,92;-3,891202E-06;-8,297008E-06;1,57319E-07;0,0003542
